idJugador,nombre,cantidadPartidas,rating
hangar-18,ultraBullet,5078,2173
hangar-18,bullet,7960,2859
hangar-18,blitz,6905,2681
hangar-18,rapid,35,2461
hangar-18,classical,0,1500
hangar-18,correspondence,0,1500
hangar-18,chess960,3136,2516
hangar-18,threeCheck,6,1832
hangar-18,crazyhouse,1381,2461
hangar-18,puzzle,319,2542
lion2006-45,ultraBullet,13944,2266
lion2006-45,bullet,9499,2947
lion2006-45,blitz,312,2718
lion2006-45,rapid,292,2771
lion2006-45,classical,141,2474
lion2006-45,correspondence,162,2463
lion2006-45,chess960,2236,2515
lion2006-45,kingOfTheHill,8708,2534
lion2006-45,threeCheck,2090,2420
lion2006-45,antichess,1412,2139
lion2006-45,atomic,546,1874
lion2006-45,horde,1507,2531
lion2006-45,racingKings,1050,2236
lion2006-45,crazyhouse,728,2352
lion2006-45,puzzle,462,3555
grxbullet,ultraBullet,9012,2425
grxbullet,bullet,10317,2900
grxbullet,blitz,3558,2716
grxbullet,rapid,190,2825
grxbullet,classical,0,1500
grxbullet,correspondence,0,1500
grxbullet,chess960,212,2452
grxbullet,crazyhouse,10939,2817
grxbullet,puzzle,281,2476
wateenellende,ultraBullet,1031,1908
wateenellende,bullet,56260,2951
wateenellende,blitz,5185,2684
wateenellende,rapid,0,1500
wateenellende,classical,0,1500
wateenellende,correspondence,0,1500
wateenellende,chess960,126,2554
wateenellende,antichess,26,1913
wateenellende,atomic,69,1917
wateenellende,horde,34,2341
wateenellende,racingKings,5,2126
wateenellende,crazyhouse,1859,2707
wateenellende,puzzle,524,2735
blitzbullet,ultraBullet,2750,2115
blitzbullet,bullet,13239,2801
blitzbullet,blitz,3495,2454
blitzbullet,rapid,127,2672
blitzbullet,classical,0,1500
blitzbullet,correspondence,0,1500
blitzbullet,chess960,1050,2395
blitzbullet,kingOfTheHill,826,2226
blitzbullet,threeCheck,899,2238
blitzbullet,antichess,203,1850
blitzbullet,atomic,593,2048
blitzbullet,horde,237,2328
blitzbullet,racingKings,168,2045
blitzbullet,crazyhouse,11988,2704
blitzbullet,puzzle,696,2428
